Source,Target,Type,Id,Label,Weight
283,464,Directed,304,,1.0
283,1544,Directed,905,,1.0
284,467,Directed,306,,1.0
284,1567,Directed,985,,1.0
285,464,Directed,307,,1.0
285,486,Directed,365,,1.0
286,468,Directed,308,,1.0
286,1569,Directed,1041,,1.0
287,464,Directed,309,,1.0
287,1544,Directed,858,,1.0
288,464,Directed,310,,1.0
288,1544,Directed,944,,1.0
289,469,Directed,311,,1.0
289,1500,Directed,1068,,1.0
290,469,Directed,312,,1.0
290,1528,Directed,891,,1.0
291,469,Directed,313,,1.0
291,1548,Directed,914,,1.0
292,469,Directed,314,,1.0
292,1536,Directed,948,,1.0
293,470,Directed,316,,1.0
293,1432,Directed,882,,1.0
294,471,Directed,317,,1.0
294,1466,Directed,938,,1.0
295,472,Directed,318,,1.0
295,1585,Directed,812,,1.0
296,470,Directed,320,,1.0
296,1432,Directed,815,,1.0
297,470,Directed,321,,1.0
297,1432,Directed,909,,1.0
298,470,Directed,322,,1.0
298,1432,Directed,915,,1.0
299,470,Directed,323,,1.0
299,1432,Directed,859,,1.0
300,471,Directed,324,,1.0
300,1515,Directed,941,,1.0
301,472,Directed,326,,1.0
301,1585,Directed,1112,,1.0
302,473,Directed,327,,1.0
302,1529,Directed,818,,1.0
303,474,Directed,328,,1.0
303,1584,Directed,919,,1.0
304,474,Directed,329,,1.0
304,1584,Directed,904,,1.0
305,475,Directed,330,,1.0
305,1540,Directed,889,,1.0
306,473,Directed,331,,1.0
306,1529,Directed,978,,1.0
307,474,Directed,332,,1.0
307,1584,Directed,940,,1.0
308,473,Directed,333,,1.0
308,1529,Directed,963,,1.0
309,474,Directed,334,,1.0
309,1584,Directed,1003,,1.0
310,476,Directed,335,,1.0
310,1562,Directed,969,,1.0
311,476,Directed,336,,1.0
311,1562,Directed,1045,,1.0
312,476,Directed,337,,1.0
312,1420,Directed,844,,1.0
313,476,Directed,338,,1.0
313,1478,Directed,819,,1.0
314,477,Directed,339,,1.0
314,1473,Directed,1072,,1.0
315,477,Directed,340,,1.0
315,1515,Directed,937,,1.0
316,477,Directed,341,,1.0
316,1486,Directed,1025,,1.0
317,477,Directed,342,,1.0
